vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
L'Amour de Venus Vin Rouge Tradition de Vigneron,34.9,venus rótulo ideal deseja conhecer vitivinicultura velho mundo meio combinação diferentes uvas regiões além claro ótimo protagonizado castas grenache tempranillo syrah tinto corpo médio taninos marcantes final longo persistente além aromas intensos frutas vermelhas pretas maduras,grenache tempranillo syrah,frança,multirregional,tinto,fsp,12.0,18.0,intenso notas frutas vermelhas pretas maduras,profundo,corpo médio refrescante frutado taninos marcantes final longo persistente,carnes vermelhas grelhadas tábua queijos pizzas variadas
Enterizo Macabeo Blanco Utiel-Requena DOP 2021,36.9,protagonizado uva branca macabeo conhecida viúra enterizo apresenta singularidades denominação corpo leve refrescante equilibrado persistente boca revela notas frutas tropicais maçã verde pera nuances sutis mel nariz experiência degustação ainda rica dica apostar frutos mar momento harmonização,macabeo,espanha,utielrequena,branco,bodegas coviñas,12.0,9.0,aromático notas frutas tropicais maçã verde pera nuances sutis mel,pálido reflexos esverdeados,refrescante equilibrado persistente frutado corpo leve,salada frutos mar risoto queijo coalho mel
Maison Castel Cuvée Blanche Ice,64.9,maison castel maior produtora vinhos frança conquista cada vez fãs onde passa espumante branco diferente perfumado saboroso vinho ideal celebrar brindar bons momentos além harmonizar perfeitamente queijos cremosos frutos mar,várias uvas,frança,várias regiões,espumante branco,castel,11.0,9.0,notas intensas maçã frutas cítricas limão abacaxi,sutis reflexos esverdeados,leve boa acidez final levemente adocicado borbulhas persistentes,queijos cremosos saladas verdes frutos mar
Castilla Real Tempranillo Joven La Mancha D.O. 2021,36.9,tempranillo uvas célebres espanha sendo considerada rainha país nesta versão castilla real demonstra pura expressão meio vinho joven passagem barricas elaborado objetivo preservar características aromas naturais casta resultado tinto agradável elegante equilibrado exala perfume expressivo frutas vermelhas frescas toques herbáceos,tempranillo,espanha,la mancha,tinto,vinícola de castilla,13.0,18.0,expressivo frutado notas frutas vermelhas frescas nuances herbáceas,brilhante reflexos violáceos,agradável elegante frutado fácil beber taninos macios acidez equilibrada corpo médio,torta carne seca pimenta biquinho pizza pepperoni caponata berinjela
Col Brioso Fantasy Bianco Spumante Gran Cuvée Extra Dry,49.9,assinado vinícola cultiva paixão tradição inovação anos região vêneto itália col brioso espumante branco une típicas uvas italianas glera trebbiano verduzzo perlage fina abundante sabor refrescante sedoso concentrado vinho apresenta delicioso leque aromático varia damasco pêssego maçã delicados toques minerais versátil rótulo vai acompanhar diversos momentos harmonização tábua queijos sobremesa almoço base frutos mar momento piscina dias quentes,glera trebbiano verduzzo,itália,vêneto,espumante branco,vinícola serena srl,11.0,9.0,notas damasco pêssego maçã delicados toques minerais,reflexos esverdeados,sabor refrescante sedoso concentrado perlage fina abundante,sobremesas leves frutos mar grelhados queijos salgados
Tarima Monastrell Alicante D.O. 2016,79.9,pilares bodega volver recuperação vinhas centenárias baixa produção perderam dessa forma videiras anos cultivadas mínima interferência alicante espanha deram origem tarima todo processo fez total diferença resultado final deste vinho premiado mostra agradável equilíbrio todos elementos taninos acidez corpo harmonize tinto uvas monastrell bela picanha brasa eleve jantar especial intensidade complexidade deste vinho,monastrell,espanha,alicante,tinto,bodegas volver,14.5,17.0,aromático notas cereja preta vermelha ameixa toques florais,,complexo vivo intenso sabor frutas maduras taninos aveludados acidez balanceada,picanha brasa embutidos
Goulart M The Marshall Malbec Reserva Single Vineyard Old Vines 2018 ,99.9,história bodega goulart começou marechal gastão goulart exilado argentina durante revolução gastão adquiriu vinhedos centenários malbec durante permanência país porém somente neta erika goulart renegociou posse vinhas desafiou seguir frente negócio produção iniciou fato meio tradição história cultivo extremamente cuidadoso orgânico nasce m the marshall tinto carrega grande especialidade erika uva malbec entrega goles elegantes robustos persistentes,malbec,argentina,mendoza,tinto,bodega goulart,14.3,13.0,frutas vermelhas maduras geléia cassis amora especiarias notas café baunilha,vermelho profundo reflexos violáceos,taninos elegantes robustos final redondo fresco longo,carnes grelhadas empanadas massas variadas queijos embutidos
3 Castelos Fresh White Blend,37.9,assinado tradicional vinícola campelo versão branca seleção castelos expressa harmonia duas uvas autóctones portugal antão vaz arinto enquanto primeira aporta líquido estrutura acidez marcante segunda contribui caráter mineral aromas frutados degustação ainda saborosa dica apostar harmonização pratos base frutos mar carnes brancas,antão vaz arinto,portugal,multirregional,branco,caves campelo,12.0,9.0,expressivo notas frutas brancas frescas nuances florais,brilhante reflexos dourados,refrescante frutado acidez marcante toques minerais,espaguete molho pesto queijo coalho assado frutos mar canapés
Bodega Norton Reserva Cabernet Franc 2019,99.9,vinícolas consagradas argentina bodega norton oferece expressões alta qualidade viticultura país seleção reserva produtor escolheu propriedade luján cuyo localizada dentro área privilegiada mendocina conhecida primera zona palco criação deste exemplar cabernet franc após meses barricas carvalho francês meses amadurecendo garrafa vinho conquistou elegância complexidade admiráveis,cabernet franc,argentina,mendoza,tinto,bodega norton,14.0,18.0,aromas frutas pretas notas amadeiradas especiarias,,frutado bem estruturado taninos firmes notas herbais,carnes vermelhas grelhadas massas recheadas queijos maduros
De Martino Organic Reserve Cabernet Sauvignon Valle del Maipo D.O. 2020,89.9,martino célebre vinícola chilena pioneira cultivo vinhas orgânicas chile linha organic reserve busca transmitir pureza terroir valle del maipo uvas deste vinho originárias vinhedos plantados década isla maipo coração valle solo região cascalho melhor cultivo cabernet sauvignon após meses barricas carvalho francês rótulo atinge esplendor notas frutas escuras cacau toque especiarias,cabernet sauvignon,chile,valle del maipo,tinto,de martino,13.5,17.0,amora fresca cassis cereja madura violetas toque cacau especiarias,púrpura intenso,encorpado textura macia taninos maduros acidez fresca final longo,bife ancho queijo parmesão ossobuco polenta
Maestri Cantinieri Lambrusco Dell'Emilia Bianco Amabile,42.9,terra natal famoso lambrusco região norte itália conhecida produzir frisantes perfeito equilíbrio doçura refrescância maestri cantinieri macio delicado frutado expressa aromas maçãs toques florais pedida ideal acompanhar sobremesas merengue morango suspiro salada frutas cremosa,lambrusco,itália,emiliaromagna,frisante branco,casa vinícola caldirola,80.0,9.0,notas intensas maçãs toques florais,amarelo límpido,refrescante macio delicado frutado,merengue morango suspiro salada frutas cremosa torta frutas vermelhas
ZioBaffa Pinot Grigio Terre Siciliane IGT 2020,74.9,chegou safra nova best seller ziobaffa história pra lá interessante além orgânico vegano tributo surf viagens família claro vinho legal fruto amizade enólogo piergiorgio castellani cineasta jason baffa surfista chris del moro apaixonados atmosfera romântica paradisíaca itália decidiram criar vinho cara verão,pinot grigio,itália,sicília,branco,castellani,12.0,9.0,frutas cítricas limão abacaxi,brilhante,corpo leve equilibrado refrescante final longo,queijos leves aperitivos
Mestre André Vinho Branco,34.9,elaborado maestria centenária vinícola quinta boa esperança mestre andré elogio profissionais terra lá trabalham devido valor dado cada etapa processo desde cultivo vinificação vinho branco revela goles leves frutados além aromas frutas brancas cítricas,várias uvas,portugal,multirregional,branco,quinta da boa esperança,12.5,8.0,notas intensas frutas brancas cítricas,reflexos dourados,refrescante delicado leve frutado,peixe assado salada camarão legumes grelhados
Fauna Reserve Cabernet Sauvignon Central Valley D.O 2019,49.9,vinhos fauna criados homenagear pluralidade vida selvagem riqueza terroirs chilenos versão reserva cabernet sauvignon cultivadas chile deu vida líquido aromas frutas maduras avelã chocolate paladar intenso taninos maduros elegantes,cabernet sauvignon,chile,valle central,tinto,bodegas y vinedos aguirre,13.3,16.0,aromas frutas vermelhas maduras notas avelã chocolate,intenso,intenso concentrado taninos maduros elegantes,carnes vermelhas assadas massas queijos fortes
Baron de Beldon Vino Blanco 2020,37.9,sob clima quente região vinícola múrcia vinhas airén cultivadas metros acima nível mar nativa espanha uva protagonista deste rótulo seleção baron beldon expressa goles refrescantes acidez equilibrada além perfume intenso frutas maduras toques tropicais refrescar dias quentes harmonizar jantar família vinho promete conquistar lugar especial adega,airén,espanha,múrcia,branco,bodegas bastida,11.0,8.0,vivaz notas frutas maduras toques tropicais,brilhante reflexos esverdeados,refrescante acidez equilibrada toques frutados,tapas espanholas estrogonofe brócolis filé peixe molho camarão
The Drover Chardonnay 2021,59.9,avançar pesquisa vinícola austrália conquistou aumento expressivo qualidade vinhos tecnicamente admiráveis bom the drover chardonnay excelência mostra goles frescos aromas frutas brancas frescas toque amanteigado notas amadeiradas oriundas passagem carvalho,chardonnay,austrália,riverina,branco,dee vine estate,12.5,8.0,notas frutas cítricas,amarelo brilhante,fresco toque amanteigado notas amadeiradas oriundas passagem carvalho,tulipa frango brasa lombo suíno salada folhas verdes
Paul Fargadel Rosé,39.9,versão rosé paul fargadel convida vivenciar novas experiências boas memórias basta reunir família degustar rótulo refrescante equilibrado boca notas expressivas frutas vermelhas nariz,várias uvas,europeu,multirregional,rosé,castel,11.0,6.0,expressivo agradável notas frutas vermelhas maduras,rosa salmão brilhante intenso,refrescante equilibrado frutado,frango assado batatas talharim pesto fritada abobrinha
El Molino Estate Bottled Cabernet Sauvignon 2022,29.9,após sucesso versão malbec best seller el molino chegou vez rainha uvas tintas cabernet sauvignon demonstrar todo potencial conquistar taça redondo elegante agradável taninos firmes boca tinto expressa nariz notas frutas vermelhas pretas toques especiarias experiência degustação ainda rica aposte harmonização pratos típicos culinária argentina risoto queijo parmesão,cabernet sauvignon,argentina,mendoza,tinto,peñaflor,13.0,18.0,notas acentuadas frutas vermelhas pretas toques especiarias,intenso reflexos violáceos,redondo elegante agradável fácil beber taninos firmes,parrillada argentina risoto queijo parmesão pimentões vermelhos recheados
Estate 1958 Alicante Bouschet Terre Siciliane IGT 2019,49.9,nascida cruzamento uvas petit bouschet grenache fim século xix alicante bouschet considerada cepas emblemáticas alentejo portugal estate vem pra provar somente terras lusitanas origina excelentes vinhos pra degustar tinto encorpado persistente notas intensas frutas vermelhas pretas maduras toques especiarias harmonização ossobuco excelente aposta,alicante bouschet,itália,sicília,tinto,cantine settesoli,12.5,16.0,notas intensas frutas vermelhas pretas maduras toques especiarias,intenso reflexos violáceos,encorpado persistente picante final longo cheio,carnes vermelhas massas variadas pratos típicos culinária italiana
La Grupa Reserva Malbec 2020,69.9,família vinhos la grupa sucesso evino pois expressa personalidade única viticultura argentina versão malbec reserva faz jus fama aromas frutas vermelhas pretas maduras especiarias doces vinho apresenta paladar sedoso complexo equilíbrio acidez taninos harmonizar aposte costelinha bafo deliciosa lasanha berinjela,malbec,argentina,mendoza,tinto,fecovita,13.5,18.0,aromas frutas vermelhas pretas maduras ameixa amora cereja morango notas chocolate baunilha,intenso reflexos violáceos,sedoso intenso untuoso equilíbrio taninos acidez final longo,carnes vermelhas grelhadas massas recheadas queijos maduros
